"code","description"
"G040","Acute disseminated encephalitis"
"G041","Tropical spastic paraplegia"
"G08","Intracranial and intraspinal phlebitis and thrombophlebitis"
"G09","Sequelae of inflammatory diseases of central nervous system"
"G10","Huntington disease"
"G110","Congenital nonprogressive ataxia"
"G111","Early-onset cerebellar ataxia"
"G113","Cerebellar ataxia with defective DNA repair"
"G114","Hereditary spastic paraplegia"
"G118","Other hereditary ataxias"
"G119","Hereditary ataxia, unspecified"
"G12","Spinal muscular atrophy and related syndromes"
"G120","Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]"
"G121","Other inherited spinal muscular atrophy"
"G122","Motor neuron disease"
"G128","Other spinal muscular atrophies and related syndromes"
"G129","Spinal muscular atrophy, unspecified"
"G13","Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere"
"G130","Paraneoplastic neuromyopathy and neuropathy"
"G131","Other systemic atrophy primarily affecting central nervous system in neoplastic disease"
"G132","Systemic atrophy primarily affecting central nervous system in myxoedema"
"G138","Systemic atrophy primarily affecting central nervous system in other diseases classified elsewhere"
"G14","Postpolio syndrome"
"G20","Parkinson disease"
"G212","Secondary parkinsonism due to other external agents"
"G213","Postencephalitic parkinsonism"
"G214","Vascular parkinsonism"
"G218","Other secondary parkinsonism"
"G219","Secondary parkinsonism, unspecified"
"G22","Parkinsonism in diseases classified elsewhere"
"G23","Other degenerative diseases of basal ganglia"
"G230","Hallervorden-Spatz disease"
"G231","Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]"
"G232","Striatonigral degeneration"
"G233","Multiple system atrophy, cerebellar type [MSA-C]"
"G238","Other specified degenerative diseases of basal ganglia"
"G239","Degenerative disease of basal ganglia, unspecified"
"G241","Idiopathic familial dystonia"
"G242","Idiopathic nonfamilial dystonia"
"G244","Idiopathic orofacial dystonia"
"G248","Other dystonia"
"G249","Dystonia, unspecified"
"G25","Other extrapyramidal and movement disorders"
"G250","Essential tremor"
"G252","Other specified forms of tremor"
"G253","Myoclonus"
"G255","Other chorea"
"G256","Drug-induced tics and other tics of organic origin"
"G258","Other specified extrapyramidal and movement disorders"
"G259","Extrapyramidal and movement disorder, unspecified"
"G26","Extrapyramidal and movement disorders in diseases classified elsewhere"
"G30","Alzheimer disease"
"G300","Alzheimer disease with early onset"
"G301","Alzheimer disease with late onset"
"G308","Other Alzheimer disease"
"G309","Alzheimer disease, unspecified"
"G31","Other degenerative diseases of nervous system, not elsewhere classified"
"G310","Circumscribed brain atrophy"
"G311","Senile degeneration of brain, not elsewhere classified"
"G312","Degeneration of nervous system due to alcohol"
"G318","Other specified degenerative diseases of nervous system"
"G319","Degenerative disease of nervous system, unspecified"
"G32","Other degenerative disorders of nervous system in diseases classified elsewhere"
"G320","Subacute combined degeneration of spinal cord in diseases classified elsewhere"
"G328","Other specified degenerative disorders of nervous system in diseases classified elsewhere"
"G35","Multiple sclerosis"
"G36","Other acute disseminated demyelination"
"G360","Neuromyelitis optica [Devic]"
"G361","Acute and subacute haemorrhagic leukoencephalitis [Hurst]"
"G368","Other specified acute disseminated demyelination"
"G369","Acute disseminated demyelination, unspecified"
"G37","Other demyelinating diseases of central nervous system"
"G370","Diffuse sclerosis"
"G371","Central demyelination of corpus callosum"
"G372","Central pontine myelinolysis"
"G373","Acute transverse myelitis in demyelinating disease of central nervous system"
"G374","Subacute necrotizing myelitis"
"G375","Concentric sclerosis [Baló]"
"G378","Other specified demyelinating diseases of central nervous system"
"G379","Demyelinating disease of central nervous system, unspecified"
"G45","Transient cerebral ischaemic attacks and related syndromes"
"G450","Vertebro-basilar artery syndrome"
"G451","Carotid artery syndrome (hemispheric)"
"G452","Multiple and bilateral precerebral artery syndromes"
"G453","Amaurosis fugax"
"G454","Transient global amnesia"
"G458","Other transient cerebral ischaemic attacks and related syndromes"
"G459","Transient cerebral ischaemic attack, unspecified"
"G46","Vascular syndromes of brain in cerebrovascular diseases"
"G460","Middle cerebral artery syndrome"
"G461","Anterior cerebral artery syndrome"
